COD_ERA,LT,LN,ERA (2),ERA,Beneficiarios,Excombatientes,Comunidad,ESTADO,ESTADO (2),WEB IMAGE,WEB IMAGE 2,WEB IMAGE 3,WEB IMAGE 4,Quarter/Year
PASO-E01MIR,3.24967,-76.224324,"Miranda, Cauca","Miranda, Cauca",24,15,9,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Miranda1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Miranda2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Miranda2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Miranda4.jpg,Q2-18
PASO-E02BNA,3.064063,-76.742898,"Buenos Aires, Cauca","Buenos Aires, Cauca",18,18,0,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/BuenosAires1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/BuenosAires2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/BuenosAires3.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/BuenosAires4.jpg,Q2-18
PASO-E03TUL,4.028002867,-76.07489716,"Tuluá, Valle","Tuluá, Valle",65,32,33,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Tulua1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Tulua2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Tulua3.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Tulua4.jpg,Q2-18
PASO-E04LGJ,10.783707,-72.76882,"Fonseca, La Guajira","Fonseca, La Guajira",65,65,0,Ejecución,Ongoing,,,,,Q4-18
PASO-E05ITU,7.174008,-75.760221,"Ituango, Antioquia","Ituango, Antioquia",42,42,0,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Ituango1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Ituango2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Ituango3.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Ituango4.jpg,Q2-18
PASO-E06DAB,6.996005,-76.25,"Dabeiba, Antioquia","Dabeiba, Antioquia",37,37,0,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Dabeiba1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Dabeiba2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Dabeiba3.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Dabeiba4.jpg,Q2-18
PASO-E07MUT,7.240827,-76.424676,"Mutatá, Antioquia","Mutatá, Antioquia",49,49,0,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Mutata1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Mutata2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Mutata3.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Mutata4.jpg,Q2-18
PASO-E08LPZ,10.325717,-72.954388,"La Paz, Cesar","La Paz, Cesar",43,43,0,Ejecución,Ongoing,,,,,Q4-18
PASO-E09COL,2.2767,-72.8824,"San José, Guaviare","San José, Guaviare",26,14,12,Ejecución,Ongoing,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Colinas_1.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Colinas_2.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Colinas_3.jpg,https://pasocolombia.org/sites/default/files/peace-colombia-logo/Colinas_4.jpg,Q4-18
PASO-E10FIL,6.668545,-71.219863,"Filipinas, Arauca","Arauquita, Arauca",62,62,0,Ejecución,Ongoing,,,,,Q3-18
