COD_ERA,ERA,ERA (2),Aliado,NUESTROS ALIADOS,Factor de Producción,Aliado (2),OUR PARTNERS,Factor de Producción (2),Aporte,Tiempo de Aporte (meses),Contribución,Unidad,Estimación COP
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",SENA,SENA,Formación - Asistencia,SENA,SENA,,,,,,
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",Hugo Restrepo y Cía.,Hugo Restrepo y Cía.,Formación - Asistencia,Hugo Restrepo & Co.,Hugo Restrepo & Co.,Education - Technical Assistance,Técnico Cultivo visita por semana,12,48,dias,"$7,200,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",Comité de Cafeteros del Cauca,Comité de Cafeteros del Cauca,Formación - Asistencia,Cauca’s Coffee Growers Committee,Cauca’s Coffee Growers Committee,Education - Technical Assistance,Asesoria en establecimiento de semilleros,12,90,dias,"$12,000,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",ASPROZONAC,ASPROZONAC,Fuerza laboral,ASPROZONAC,ASPROZONAC,Labor Force,Jornales para establecer la ERA,6,480,Jornales,"$19,200,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",CEPRODET,CEPRODET,Fuerza laboral,CEPRODET,CEPRODET,Labor Force,Jornales para establecer la ERA,6,960,Jornales,"$38,400,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",CEPRODET,CEPRODET,Fuerza laboral,CEPRODET,CEPRODET,Labor Force,Maquinaria para terreno,0.09,36,horas,"$10,800,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",CEPRODET,CEPRODET,Mercado,CEPRODET,CEPRODET,Market,comercialización de bocashí,2,30,toneladas,"$10,500,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",Hugo Restrepo y Cía.,Hugo Restrepo y Cía.,Mercado,Hugo Restrepo & Co.,Hugo Restrepo & Co.,Market,Transporte a planta,8,25,Toneladas,"$1,450,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",Hugo Restrepo y Cía.,Hugo Restrepo y Cía.,Mercado,Hugo Restrepo & Co.,Hugo Restrepo & Co.,Market,Compra de toda la producción,8,25,Toneladas,"$65,250,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",Hugo Restrepo y Cía.,Hugo Restrepo y Cía.,Mercado,Hugo Restrepo & Co.,Hugo Restrepo & Co.,Market,Molienda de ají,8,250,Toneladas,"$15,000,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",Comité de Cafeteros del Cauca,Comité de Cafeteros del Cauca,Mercado,Cauca’s Coffee Growers Committee,Cauca’s Coffee Growers Committee,Market,comercialización de plantulas de café,12,165000,plantulas,"$4,950,000.00"
PASO-E01MIR,"Miranda, Cauca","Miranda, Cauca",ASPROZONAC,ASPROZONAC,Tierra,ASPROZONAC,ASPROZONAC,Land,Comodato de tierra por 5 años,60,5,Hectáreas,"$63,500,000.00"
PASO-E02BNA,"Buenos Aires, Cauca","Buenos Aires, Cauca",CONFIAR Cooperativa Financiera,CONFIAR Cooperativa Financiera,Capital,CONFIAR Financial Cooperative,CONFIAR Financial Cooperative,Capital,Alojamiento de hotel de 12 beneficiarios de prótesis,,1,aporte,"$5,000,000.00"
PASO-E02BNA,"Buenos Aires, Cauca","Buenos Aires, Cauca",Comité de Cafeteros del Cauca,Comité de Cafeteros del Cauca,Formación - Asistencia,Cauca’s Coffee Growers Committee,Cauca’s Coffee Growers Committee,Education - Technical Assistance,Acompañamiento de procesos en renovación de caficultura,12,48,visitas,"$9,600,000.00"
PASO-E02BNA,"Buenos Aires, Cauca","Buenos Aires, Cauca",CECOESPE,CECOESPE,Fuerza laboral,CECOESPE,CECOESPE,Labor Force,Jornales de establecimiento ERA,12,2400,Jornales al año,"$96,000,000.00"
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",ASOPROVENUS,ASOPROVENUS,Capital,ASOPROVENUS,ASOPROVENUS,Capital,Centro de Acopio,12,1,Centro de acopio y 5000 m2,"$8,400,000.00"
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",Gobernación del Valle del Cauca,Gobernación del Valle del Cauca,Capital,Governorship of Valle del Cauca,Governorship of Valle del Cauca,Capital,Proyectos Productivos,,,,"$200,000,000.00"
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),Capital,World Food Programme (WFP),World Food Programme (WFP),Capital,bono de 48.000 pesos por personas para compra de alimentos,3,66,bonos,"$9,504,000.00"
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",Programa de Naciones Unidas para el Desarrollo (PNUD),Programa de Naciones Unidas para el Desarrollo (PNUD),Formación - Asistencia,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),Education - Technical Assistance,Asesoria en proyectos productivos,12,1,asesor,"$48,000,000.00"
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",COOMULNES,COOMULNES,Fuerza laboral,COOMULNES,COOMULNES,Labor Force,Jornales para establecer la ERA,12,2400,jornales de un año,"$96,000,000.00"
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E03TUL,"Tuluá, Valle","Tuluá, Valle",Asociación Colombiana de Pequeños Caficultores (ASCAFÉ),Asociación Colombiana de Pequeños Caficultores (ASCAFÉ),,ASCAFÉ,ASCAFÉ,,,,,,
PASO-E04LGJ,"Fonseca, La Guajira","Fonseca, La Guajira",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),,World Food Programme (WFP),World Food Programme (WFP),,,,,,
PASO-E04LGJ,"Fonseca, La Guajira","Fonseca, La Guajira",Programa de Naciones Unidas para el Desarrollo (PNUD),Programa de Naciones Unidas para el Desarrollo (PNUD),Capital,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),Infrastructure,,,,,
PASO-E04LGJ,"Fonseca, La Guajira","Fonseca, La Guajira",SENA,SENA,Fuerza laboral,SENA,SENA,,,,,,
PASO-E05ITU,"Ituango, Antioquia","Ituango, Antioquia",Gobernación de Antioquia,Gobernación de Antioquia,Capital,Governorship of Antioquia,Governorship of Antioquia,Capital,Aporte económico para instalación de sistemas productivos,7,,COP,"$110,000,000.00"
PASO-E05ITU,"Ituango, Antioquia","Ituango, Antioquia",Corporación para la Investigación y el Ecodesarrollo Regional (CIER),Corporación para la Investigación y el Ecodesarrollo Regional (CIER),Formación - Asistencia,CIER,CIER,Education - Technical Assistance,Acompañamiento técnico agroecológico,7,,,
PASO-E05ITU,"Ituango, Antioquia","Ituango, Antioquia","Corporación de estudios, educación e investigación ambiental (CEAM)","Corporación de estudios, educación e investigación ambiental (CEAM)",,CEAM,CEAM,,,,,,
PASO-E05ITU,"Ituango, Antioquia","Ituango, Antioquia",Corporación para la Educación Integral y el Bienestar Ambiental (CEIBA),Corporación para la Educación Integral y el Bienestar Ambiental (CEIBA),,CEIBA,CEIBA,,,,,,
PASO-E05ITU,"Ituango, Antioquia","Ituango, Antioquia",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",CONFIAR Cooperativa Financiera,CONFIAR Cooperativa Financiera,Capital,CONFIAR Financial Cooperative,CONFIAR Financial Cooperative,Capital,Aporte económico a proyecto peces,7,,COP,"$30,000,000.00"
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Corporación para la Investigación y el Ecodesarrollo Regional (CIER),Corporación para la Investigación y el Ecodesarrollo Regional (CIER),,CIER,CIER,,,,,,
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia","Corporación de estudios, educación e investigación ambiental (CEAM)","Corporación de estudios, educación e investigación ambiental (CEAM)",,CEAM,CEAM,,,,,,
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Corporación para la Educación Integral y el Bienestar Ambiental (CEIBA),Corporación para la Educación Integral y el Bienestar Ambiental (CEIBA),,CEIBA,CEIBA,,,,,,
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Universidad de Antioquia,Universidad de Antioquia,,University of Antioquia,University of Antioquia,,,,,,
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Gobernación de Antioquia,Gobernación de Antioquia,Capital,Governorship of Antioquia,Governorship of Antioquia,Capital,Aporte económico para instalación de sistemas productivos,7,,,"$7,000,000.00"
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Cooperativa Futuro de paz,Cooperativa Futuro de paz,Fuerza laboral,Futuro de paz Cooperative,Cooperative Futuro de paz,Labor Force,Jornales para establecimiento de la ERA por 6 meses,,2520,jornales,"$100,800,000.00"
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Cooperativa Futuro de paz,Cooperativa Futuro de paz,Tierra,Futuro de paz Cooperative,Cooperative Futuro de paz,Land,Aporte de terrenos para Establecer la Escuela Rural Alternativa,,45,Ha,"$540,000,000.00"
PASO-E06DAB,"Dabeiba, Antioquia","Dabeiba, Antioquia",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",CONFIAR Cooperativa Financiera,CONFIAR Cooperativa Financiera,Capital,CONFIAR Financial Cooperative,CONFIAR Financial Cooperative,,,,,,
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Gobernación de Antioquia,Gobernación de Antioquia,Capital,Governorship of Antioquia,Governorship of Antioquia,Capital,Aporte económico para instalación de sistemas productivos,7,,,"$7,000,000.00"
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Universidad de Antioquia,Universidad de Antioquia,Formación - Asistencia,University of Antioquia,University of Antioquia,Education - Technical Assistance,Proceso de formación en liderazgo,7,7,Talleres,"$25,000,000.00"
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Cooperativa La Fortuna,Cooperativa La Fortuna,Fuerza laboral,Cooperative La Fortuna,Cooperative La Fortuna,Labor Force,Jornales para establecimiento de ERA,6,2520,jornales,"$100,800,000.00"
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Gobernación de Antioquia,Gobernación de Antioquia,Tierra,Governorship of Antioquia,Governorship of Antioquia,Land,Compra de Tierra la Fortuna,7,,,"$2,000,000,000.00"
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Cooperativa La Fortuna,Cooperativa La Fortuna,Tierra,Cooperative La Fortuna,Cooperative La Fortuna,Land,Compra de Tierra San Jose del leon,7,36,Hectareas,"$90,000,000.00"
PASO-E07MUT,"Mutatá, Antioquia","Mutatá, Antioquia",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E08LPZ,"La Paz, Cesar","La Paz, Cesar",Programa de Naciones Unidas para el Desarrollo (PNUD),Programa de Naciones Unidas para el Desarrollo (PNUD),Capital,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),Capital,,,,,
PASO-E08LPZ,"La Paz, Cesar","La Paz, Cesar",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),,World Food Programme (WFP),World Food Programme (WFP),,,,,,
PASO-E09COL,"San José, Guaviare","San José, Guaviare",SENA,SENA,,SENA,SENA,,,,,,
PASO-E09COL,"San José, Guaviare","San José, Guaviare",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),,World Food Programme (WFP),World Food Programme (WFP),,,,,,
PASO-E09COL,"San José, Guaviare","San José, Guaviare",Universidad de Los Llanos,Universidad de Los Llanos,,University of Llanos,University of Llanos,,,,,,
PASO-E09COL,"San José, Guaviare","San José, Guaviare",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E10FIL,"Arauquita, Arauca","Arauquita, Arauca",Universidad de Los Llanos,Universidad de Los Llanos,Formación - Asistencia,University of Los Llanos,University of Los Llanos,Education - Technical Assistance,Asistencia técnica en proyecto de acuicultura,,,,
PASO-E10FIL,"Arauquita, Arauca","Arauquita, Arauca",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),,World Food Programme (WFP),World Food Programme (WFP),,,,,,
PASO-E10FIL,"Arauquita, Arauca","Arauquita, Arauca",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E13SAR,"Saravena, Arauca","Saravena, Arauca",Alcaldía de Saravena,Alcaldía de Saravena,,Municipality of Saravena,Municipality of Saravena,,,,,,
PASO-E13SAR,"Saravena, Arauca","Saravena, Arauca",Concentración de Desarrollo Rural,Concentración de Desarrollo Rural,,Concentración de Desarrollo Rural (School),Concentración de Desarrollo Rural (School),,,,,,
PASO-E13SAR,"Saravena, Arauca","Saravena, Arauca",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E13SAR,"Saravena, Arauca","Saravena, Arauca",Fedecacao,Fedecacao,,Fedecacao,Fedecacao,,,,,,
PASO-E11GUA,"Guapi, Cauca","Guapi, Cauca",SENA,SENA,,SENA,SENA,,,,,,
PASO-E11GUA,"Guapi, Cauca","Guapi, Cauca",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E11GUA,"Guapi, Cauca","Guapi, Cauca",Agencia para la Reincorporación y la Normalización (ARN),Agencia para la Reincorporación y la Normalización (ARN),,Reincorporation and Normalization Agency (ARN),Reincorporation and Normalization Agency (ARN),,,,,,
PASO-E11GUA,"Guapi, Cauca","Guapi, Cauca",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),,World Food Programme (WFP),World Food Programme (WFP),,,,,,
PASO-E11GUA,"Guapi, Cauca","Guapi, Cauca",Pastoral Social,Pastoral Social,,Pastoral Social,Pastoral Social,,,,,,
PASO-E12EST,"El Patía, Cauca","El Patía, Cauca",Programa Mundial de Alimentos (PMA),Programa Mundial de Alimentos (PMA),,World Food Programme (WFP),World Food Programme (WFP),,,,,,
PASO-E12EST,"El Patía, Cauca","El Patía, Cauca",Programa de Naciones Unidas para el Desarrollo (PNUD),Programa de Naciones Unidas para el Desarrollo (PNUD),,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),,,,,,
PASO-E12EST,"El Patía, Cauca","El Patía, Cauca",Misión de Verificación de la ONU en Colombia,Misión de Verificación de la ONU en Colombia,,UN Verification Mission in Colombia,UN Verification Mission in Colombia,,,,,,
PASO-E12EST,"El Patía, Cauca","El Patía, Cauca",SENA,SENA,,SENA,SENA,,,,,,
PASO-E14PUT,"Puerto Guzmán, Putumayo","Puerto Guzmán, Putumayo",SENA,SENA,,SENA,SENA,,,,,,
